,STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08
138,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-18,2.46,,0.0,,71,61,270.0,280.0,8.9,17.0,,,
139,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-19,1.79,,0.0,,72,62,280.0,270.0,8.1,14.1,,,
140,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-20,2.68,,0.0,,70,58,130.0,180.0,10.1,17.0,,,
141,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-21,2.01,,0.0,,71,56,270.0,270.0,12.1,19.0,,,
142,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-22,2.68,,0.0,,72,56,280.0,270.0,13.0,19.0,,,
143,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-23,2.24,,0.0,,74,57,270.0,270.0,10.1,16.1,,,
144,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-24,2.46,,0.0,,71,58,270.0,280.0,10.1,17.0,,,
145,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-25,2.24,,0.0,,68,56,280.0,270.0,13.0,19.0,,,
146,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-26,2.01,,0.0,,74,58,270.0,280.0,12.1,17.0,,,
147,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-27,2.24,,0.0,,73,58,270.0,270.0,10.1,16.1,,,1.0
148,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-28,2.91,,0.0,,72,61,280.0,280.0,10.1,16.1,,,1.0
149,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-29,1.57,,0.0,,71,60,270.0,270.0,8.9,16.1,,,
150,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-30,2.01,,0.0,,72,58,280.0,270.0,10.1,14.1,,,
151,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-05-31,2.01,,0.0,,74,60,270.0,280.0,8.9,14.1,1.0,,1.0
152,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-01,1.79,,0.0,,75,63,270.0,280.0,8.1,15.0,,,1.0
153,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-02,1.79,,0.0,,78,60,270.0,270.0,8.1,13.0,1.0,,1.0
154,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-03,1.57,,0.0,,87,59,270.0,280.0,10.1,13.0,1.0,,1.0
155,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-04,2.01,,0.0,,77,59,270.0,280.0,8.9,13.0,1.0,1.0,1.0
156,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-05,2.01,,0.0,,71,58,270.0,270.0,8.9,14.1,1.0,,1.0
157,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-06,1.79,,0.0,,73,58,280.0,270.0,8.9,15.0,1.0,,1.0
158,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-07,2.01,,0.0,,75,60,270.0,270.0,8.9,16.1,,,1.0
159,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-08,1.57,,0.0,,77,60,270.0,270.0,10.1,14.1,1.0,,1.0
160,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-09,1.57,,0.0,,72,62,270.0,270.0,8.1,12.1,1.0,,1.0
161,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-10,1.79,,0.0,,77,62,280.0,270.0,8.1,12.1,1.0,,1.0
162,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-11,2.46,,0.0,,70,62,170.0,180.0,8.1,13.0,1.0,,1.0
163,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-12,1.34,,0.0,,72,60,270.0,270.0,8.1,12.1,,,
164,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-13,2.68,,0.0,,71,60,270.0,280.0,12.1,19.0,,,
165,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-14,1.79,,0.0,,72,60,270.0,260.0,10.1,16.1,,,1.0
166,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-15,2.01,,0.0,,72,62,270.0,270.0,8.9,16.1,,,
167,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-16,2.46,,0.0,,76,59,280.0,280.0,12.1,19.0,,,1.0
168,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-17,1.57,,0.0,,84,60,280.0,280.0,10.1,16.1,,,1.0
169,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-18,1.79,,0.0,,89,63,280.0,270.0,12.1,19.0,,,1.0
